Icelandic 	 843.8  	 Literature/French & related literatures/French fiction/A Journey To The Centre Of The Earth - James Hynes, Lars Hokanson, Jules Verne, Robert Baldick
Igbo 	 261.096  	 Religion/Christian organization, social work & worship/Social theology/Inculturation As Dialogue_ Igbo Culture And The Message Of Christ - Chibueze C. Udeani, Inc Ebrary
Introduction.to.Computation.and.Programming.Using.Python 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Introduction To Computation And Programming Using Python_ With Application To Understanding Data - John V. Guttag
Iontenwennaweienstahkhwa_. Mohawk Spelling Dictionary 	 497.5  	 Language/Other languages/North American native languages/Iontenwennaweienstahkhwa'_ Mohawk Spelling Dictionary - Marianne Mithun
Japanese for Busy People 	 495.683421  	 Language/Other languages/Languages of East & Southeast Asia/Japanese For Busy People II - Kokusai Nihongo Fukyū Kyōkai (Japan) [Author; Issuing body; Editor; Other]
Japanese-Genki 	 495.6  	 Language/Other languages/Languages of East & Southeast Asia/Shokyū Nihongo Genki =_ An Integrated Course In Elementary Japanese Genki - Yutaka Ōno, Eri Banno, Yōko Ikeda, Chikako Shinagawa
Java In A Nutshell A desktop quick reference by David Flanagan (z-lib.org) 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Java In A Nutshell - Łukasz Piwko, David Flanagan, Benjamin J. Evans
Korean-Hippocrene 	 495.7  	 Language/Other languages/Languages of East & Southeast Asia/Korean_ Hippocrene Handy Dictionaries -
Kurmanji 	 398.20899159  	 Social sciences/Customs, etiquette & folklore/Folklore/Dewrêsê Evdî. A Kurmanji Epic As Performed By The Berazi Singer Baqî Xido - Barbara Sträuli Arslan
Lao Basics_ An Introduction to the Lao Language 	 495.919  	 Language/Other languages/Languages of East & Southeast Asia/Lao Basics_ An Introduction To The Lao Language - Sam Brier
(Learning about Language) Keith Johnson - The history of Early English _ An Activity-based Introduction to Early, Middle and Early Modern English language-Routledge (2016) 	 420.9  	 Language/English & Old English languages/English & Old English/The History Of Early English_ An Activity-Based Approach - Keith Johnson
Learning Perl 6 Keeping the Easy, Hard, and Impossible within Reach 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Learning Perl 6_ Keeping The Easy, Hard, And Impossible Within Reach - Brian D. Foy
Learning PHP, MySQL, and JavaScript by Robin Nixon (z-lib.org) 	 005.2762  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Learning PHP, MySQL &Amp; JavaScript_ With JQuery, CSS &Amp; HTML5 - Robin Nixon
Learn Python by building data science applications 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Learn Python By Building Data Science Applications_ A Fun, Project-Based Guide To Learning Python 3 While Building Real-World Apps - Philipp Kats, David Katz
Learn to Read Latin Textbook 	 478.2421  	 Language/Latin & Italic languages/Classical Latin usage/Learn To Read Latin - Andrew Keller, Stephanie Russell
Linguistics _ a complete introduction 	 410  	 Language/Linguistics/Linguistics/Linguistics_ A Complete Introduction - David Hornsby
Lithuanian-Routledge 	 491.9282421  	 Language/Other languages/East Indo-European & Celtic languages/Colloquial Lithuanian_ The Complete Course For Beginners - Meilutė Ramonienė, Ian Press
Lojban 	 499.99  	 Language/Other languages/Austronesian & other languages/The Complete Lojban Language - John Woldemar Cowan
Luganda-English Dictionary 	 496.39  	 Language/Other languages/African languages/Luganda - English Dictionary; - R. A. Snoxall
Lushootseed Dictionary 	 497.9  	 Language/Other languages/North American native languages/Lushootseed Dictionary - Dawn E. Bates, Thom Hess, Vi Hilbert
Lushootseed reader with introductory grammar 	 497.9  	 Language/Other languages/North American native languages/Lushootseed Reader With Introductory Grammar - Thom Hess
Macedonian 	 491.81982421  	 Language/Other languages/East Indo-European & Celtic languages/Macedonian_ A Course For Beginning And Intermediate Students = [Makedonski Jazik] - Liljana Mitkovska, Christina Elizabeth Kramer
Mapudungun 	 498  	 Language/Other languages/South American native languages/Diccionario Araucano-Español Y Español-Araucano, - Félix José de Augusta
Morphology 	 415.9  	 Language/Linguistics/Grammar/What Is Morphology? - Kirsten Anne Fudeman, Mark Aronoff
Navajo 	 813.6  	 Literature/American literature in English/American fiction in English/Code Talker_ A Novel About The Navajo Marines Of World War Two - Joseph Bruchac
Navajo-Dictionary 	 497.2  	 Language/Other languages/North American native languages/The Navajo Dictionary On Diagnostic Terminology_ A Reference Guide On Navajo Usage Of Diagnostic Terms - Diné Center for Human Development
Ojibwe Vocabulary Project 	 497.333  	 Language/Other languages/North American native languages/Aaniin Ekidong =_ Ojibwe Vocabulary Project -
OpenGL Distilled 	 006.66  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/OpenGL Distilled - Paul Martz
OpenGL Shading 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/OpenGL 4.0 Shading Language Cookbook_ Over 60 Highly Focused, Practical Recipes To Maximize Your Use Of The OpenGL Shading Language - David Wolff
OpenGL SuperBible 	 006.66  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/OpenGL Superbible_ Comprehensive Tutorial And Reference - Nicholas Haemel, Benjamin Lipchak, Richard S. Wright
Perl One-Liners 130 Programs That Get Things Done 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Perl One-Liners_ 130 Programs That Get Things Done - Peteris Krumins
PHP 5 Recipes 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/PHP 5 Recipes_ A Problem-Solution Approach - Lee Babin, Nathan A. Good, Jon Stephens
PHP Cookbook 	 006.76  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/PHP Cookbook - David Sklar, Adam Trachtenberg
Portuguese-Grammar 	 469.798  	 Language/Spanish & Portuguese languages/Portuguese/Modern Brazilian Portuguese Grammar_ A Practical Guide - John Whitlam, ProQuest (Firm)
Psycholinguistics 	 401.9  	 Language/Language/Philosophy & theory/The Articulate Mammal_ An Introduction To Psycholinguistics - Jean Aitchison, Yanping Dong
Python Data Science Handbook 	 006.312  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/Python Data Science Handbook_ Essential Tools For Working With Data - Jacob T. Vanderplas
