Japanese-Genki 	 495.6  	 Language/Other languages/Languages of East & Southeast Asia/Shokyū Nihongo Genki =_ An Integrated Course In Elementary Japanese Genki - Yutaka Ōno, Eri Banno, Yōko Ikeda, Chikako Shinagawa
Java In A Nutshell A desktop quick reference by David Flanagan (z-lib.org) 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Java In A Nutshell - Łukasz Piwko, David Flanagan, Benjamin J. Evans
Korean-Hippocrene 	 495.7  	 Language/Other languages/Languages of East & Southeast Asia/Korean_ Hippocrene Handy Dictionaries -
Kurmanji 	 398.20899159  	 Social sciences/Customs, etiquette & folklore/Folklore/Dewrêsê Evdî. A Kurmanji Epic As Performed By The Berazi Singer Baqî Xido - Barbara Sträuli Arslan
Lao Basics_ An Introduction to the Lao Language 	 495.919  	 Language/Other languages/Languages of East & Southeast Asia/Lao Basics_ An Introduction To The Lao Language - Sam Brier
(Learning about Language) Keith Johnson - The history of Early English _ An Activity-based Introduction to Early, Middle and Early Modern English language-Routledge (2016) 	 420.9  	 Language/English & Old English languages/English & Old English/The History Of Early English_ An Activity-Based Approach - Keith Johnson
Learning Perl 6 Keeping the Easy, Hard, and Impossible within Reach 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Learning Perl 6_ Keeping The Easy, Hard, And Impossible Within Reach - Brian D. Foy
Learning PHP, MySQL, and JavaScript by Robin Nixon (z-lib.org) 	 005.2762  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Learning PHP, MySQL &Amp; JavaScript_ With JQuery, CSS &Amp; HTML5 - Robin Nixon
Learn Python by building data science applications 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Learn Python By Building Data Science Applications_ A Fun, Project-Based Guide To Learning Python 3 While Building Real-World Apps - Philipp Kats, David Katz
Learn to Read Latin Textbook 	 478.2421  	 Language/Latin & Italic languages/Classical Latin usage/Learn To Read Latin - Andrew Keller, Stephanie Russell
Linguistics _ a complete introduction 	 410  	 Language/Linguistics/Linguistics/Linguistics_ A Complete Introduction - David Hornsby
Lithuanian-Routledge 	 491.9282421  	 Language/Other languages/East Indo-European & Celtic languages/Colloquial Lithuanian_ The Complete Course For Beginners - Meilutė Ramonienė, Ian Press
Lojban 	 499.99  	 Language/Other languages/Austronesian & other languages/The Complete Lojban Language - John Woldemar Cowan
Luganda-English Dictionary 	 496.39  	 Language/Other languages/African languages/Luganda - English Dictionary; - R. A. Snoxall
Lushootseed Dictionary 	 497.9  	 Language/Other languages/North American native languages/Lushootseed Dictionary - Dawn E. Bates, Thom Hess, Vi Hilbert
Lushootseed reader with introductory grammar 	 497.9  	 Language/Other languages/North American native languages/Lushootseed Reader With Introductory Grammar - Thom Hess
Macedonian 	 491.81982421  	 Language/Other languages/East Indo-European & Celtic languages/Macedonian_ A Course For Beginning And Intermediate Students = [Makedonski Jazik] - Liljana Mitkovska, Christina Elizabeth Kramer
Mapudungun 	 498  	 Language/Other languages/South American native languages/Diccionario Araucano-Español Y Español-Araucano, - Félix José de Augusta
Morphology 	 415.9  	 Language/Linguistics/Grammar/What Is Morphology? - Kirsten Anne Fudeman, Mark Aronoff
Navajo 	 813.6  	 Literature/American literature in English/American fiction in English/Code Talker_ A Novel About The Navajo Marines Of World War Two - Joseph Bruchac
Navajo-Dictionary 	 497.2  	 Language/Other languages/North American native languages/The Navajo Dictionary On Diagnostic Terminology_ A Reference Guide On Navajo Usage Of Diagnostic Terms - Diné Center for Human Development
Ojibwe Vocabulary Project 	 497.333  	 Language/Other languages/North American native languages/Aaniin Ekidong =_ Ojibwe Vocabulary Project -
OpenGL Distilled 	 006.66  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/OpenGL Distilled - Paul Martz
OpenGL Shading 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/OpenGL 4.0 Shading Language Cookbook_ Over 60 Highly Focused, Practical Recipes To Maximize Your Use Of The OpenGL Shading Language - David Wolff
OpenGL SuperBible 	 006.66  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/OpenGL Superbible_ Comprehensive Tutorial And Reference - Nicholas Haemel, Benjamin Lipchak, Richard S. Wright
Perl One-Liners 130 Programs That Get Things Done 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Perl One-Liners_ 130 Programs That Get Things Done - Peteris Krumins
PHP 5 Recipes 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/PHP 5 Recipes_ A Problem-Solution Approach - Lee Babin, Nathan A. Good, Jon Stephens
PHP Cookbook 	 006.76  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/PHP Cookbook - David Sklar, Adam Trachtenberg
Portuguese-Grammar 	 469.798  	 Language/Spanish & Portuguese languages/Portuguese/Modern Brazilian Portuguese Grammar_ A Practical Guide - John Whitlam, ProQuest (Firm)
Psycholinguistics 	 401.9  	 Language/Language/Philosophy & theory/The Articulate Mammal_ An Introduction To Psycholinguistics - Jean Aitchison, Yanping Dong
Python Data Science Handbook 	 006.312  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/Python Data Science Handbook_ Essential Tools For Working With Data - Jacob T. Vanderplas
Python GUI Programming Cookbook 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Python GUI Programming Cookbook_ Over 80 Object-Oriented Recipes To Help You Create Mind-Blowing GUIs In Python - Burkhard A. Meier
Python One-Liners 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Python One-Liners_ Write Concise, Eloquent Python Like A Professional - Dpunkt.Verlag [Publisher], Christian Mayer
Romanian-Grammar 	 459  	 Language/Italian, Romanian & related languages/Romanian & related languages/Descriptive Romanian Grammar_ An Outline - Laura Daniliuc
Sanskrit Text 	 294.385  	 Religion/Other religions/Religions of Indic origin/The Philosophy Of The Middle Way =_ Mūlamadhyamakakārikā - David J. Kalupahana, J. W. de 1921-2000 Jong, Chr. Lindtner, active 2nd century Nāgārjuna
Spanish-Advanced 	 468.3421  	 Language/Spanish & Portuguese languages/Standard Spanish usage/Communicating In Spanish. Novice/Elementary Level - Conrad J. Schmitt, Protase E. Woodford
Spanish-Grammar 	 468.2421  	 Language/Spanish & Portuguese languages/Standard Spanish usage/Schaum'S Outline Of Spanish Grammar - Conrad J. Schmitt
Sumerian 	 299.92  	 Religion/Other religions/Religions not provided for elsewhere/Sumerian Mythology;_ A Study Of Spiritual And Literary Achievement In The Third Millennium B.C - Samuel Noah Kramer
Tagalog for Beginners 	 499.21182421  	 Language/Other languages/Austronesian & other languages/Tagalog For Beginners, - Teresita V. Ramos, Videa P. De Guzman
Teach Yourself_ Indonesian 	 499.22182421  	 Language/Other languages/Austronesian & other languages/Teach Yourself Indonesian - John B Kwee
TheGirlWithoutASound_Book_isiZulu - draft02 	 823.92  	 Literature/English & Old English literatures/English fiction/The Girl Without A Sound - Buhle Ngaba
The Grammar of Words_ An Introduction to Linguistic Morphology (Oxford Textbooks in Linguistics) 	 415.9  	 Language/Linguistics/Grammar/The Grammar Of Words_ An Introduction To Linguistic Morphology - Oxford University Press [Publisher], G. E. Booij
The Little Schemer 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/The Little Schemer - Daniel P. Friedman, Matthias Felleisen
The Pocket Handbook of Image Processing Algorithms In C 	 621.3670285533  	 Technology/Engineering/Applied physics/The Pocket Handbook Of Image Processing Algorithms In C - Harley R. Myler, Arthur R. Weeks
The Study of Language 	 410.9 : Language/Linguistics/Linguistics/History Of The Language Sciences_ An International Handbook On The Evolution Of The Study Of Language From The Beginnings To The Present = Geschichte Der Sprachwissenschaften : Ein Internationales Handbuch Zur Entwicklung Der Sprachforschung Von Den Anfängen Bis Zur Gegenwart = Histoire Des Sciences Du Langage  	 Manuel International Sur L'Évolution De L'Étude Du Langage Des Origines À Nos Jours - Sylvain Auroux, Hans-Josef Niederehe, E. F. K. Koerner, Sören Philipps
think-python 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Think Python - Allen Downey
Tiuelis titlajtlajtos náhuatl _ Puede hablar el náhuatl 	 497.45281  	 Language/Other languages/North American native languages/Tiuelis Titlajtlajtos Náhuatl = Puede Hablar El Náhuatl_ Náhuatl De Guerrero Y Español -
Tlingit 	 979.800497  	 History & geography/History of North America/Great Basin & Pacific Slope region/Tlingit Indians Of Alaska - Bishop of Tomsk Anatolīĭ, Sergei Kan
Tongan 	 863  	 Literature/Spanish & Portuguese literatures/Spanish fiction/Cien Años De Soledad - Gabriel García Márquez, Jacques Joset, Curt Meyer-Clason
Tunumiit oraasiat_ Tunumiut oqaasii The East Greenlandic Inuit language 	 497.1  	 Language/Other languages/North American native languages/Tunumiit Oraasiat =_ Tunumiut Oqaasii = The East Greenlandic Inuit Language - Louis-Jacques Dorais, Université Laval., Pierre Robbe
Urdu-Script 	 491.43982421  	 Language/Other languages/East Indo-European & Celtic languages/Beginner'S Urdu Script - Richard Delacy
Warlpiri 	 401.43  	 Language/Language/Philosophy & theory/The Semantics Of Polysemy_ Reading Meaning In English And Warlpiri - Inc ebrary, Nick Riemer
Webbots, Spiders, and Screen Scrapers 	 025.04  	 Computer science, information & general works/Library & information sciences/Library operations/Webbots, Spiders, And Screen Scrapers_ A Guide To Developing Internet Agents With PHP/CURL - Michael Schrenk
Wicked Cool Perl Scripts Useful Perl Scripts That Solve Difficult Problems 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Wicked Cool Perl Scripts_ Useful Perl Scripts That Solve Difficult Problems - Steve Oualline
Windows Commands 	 005.446  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/PowerShell Essentials_ Windows Commands - Jamie Campbell
Women, Fire, and Dangerous Things 	 401.9  	 Language/Language/Philosophy & theory/Women, Fire, And Dangerous Things_ What Categories Reveal About The Mind - George 1941- Lakoff
Your First 100 Words in Pashto 	 491.593  	 Language/Other languages/East Indo-European & Celtic languages/Your First 100 Words In Pashto_ Pashto For Total Beginners Through Puzzles And Games - Mahmoud Gaafar, Jane Wightwick, Akhtarjan Kohistani, Akber Hargar
ZeroMQ 	 004.6  	 Computer science, information & general works/Computer science, knowledge & systems/Data processing & computer science/ZeroMQ - Faruk Akgul
Abhijnana Sakuntalam 	 891.22  	 Literature/Other literatures/East Indo-European & Celtic literatures/The Recognition Of Shakúntala - Kālidāsa, M. B. 1904-2005 Emeneau, Rabindranath Tagore, Somadeva Vasudeva
A History of Old Norse Poetry and Poetics 	 839.61009  	 Literature/German & related literatures/Other Germanic literatures/A History Of Old Norse Poetry And Poetics - Margaret Clunies Ross
A Little Larger Than the Entire Universe 	 861.141  	 Literature/Spanish & Portuguese literatures/Spanish poetry/A Little Larger Than The Entire Universe_ Selected Poems - Fernando Pessoa, Richard Zenith
Anukul 	 922.94  	 History & geography/Biography & genealogy/Optional/Ocean In A Teacup;_ The Story Of Sree Sree Thakur Anukul Chandra, - Ray A. Hauserman
A series of Unfortunate Events - 2 	 813.6 : Literature/American literature in English/American fiction in English/The Reptile Room_ A Series Of Unfortunate Events 	 #2 - Lemony Snicket
A series of Unfortunate Events - 3 	 813.54  	 Literature/American literature in English/American fiction in English/A Series Of Unfortunate Events_ Book The Third.,. The Wide Window - Lemony Snicket
A series of Unfortunate Events - 4 	 813.54  	 Literature/American literature in English/American fiction in English/A Series Of Unfortunate Events,_ 4. The Miserable Mill - Lemony Snicket
A Thousand Yearnings 	 891.43909  	 Literature/Other literatures/East Indo-European & Celtic literatures/A Thousand Yearnings_ A Book Of Urdu Poetry And Verse -
A Worldly Country 	 811.54  	 Literature/American literature in English/American poetry in English/A Worldly Country_ New Poems - John Ashbery
Beautiful Boy 	 362.299  	 Social sciences/Social problems & social services/Social welfare problems & services/Beautiful Boy_ A Father'S Journey Through His Son'S Addiction - David Sheff
Book of Blues 	 781.6430922  	 Arts & recreation/Music/General principles & musical forms/The Big Book Of Blues_ A Biographical Encyclopedia - Robert Santelli
Bram Stoker - Dracula 	 823.8  	 Literature/English & Old English literatures/English fiction/Bram Stoker, Dracula And The Victorian Gothic Stage - Catherine Wynne
